------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy at 100 Hz  Filter Normal -----------
Serial Number: TAS1E52150596
Start Time 16:24:00
Start Date 7/29/18
Epoch Period (hh:mm:ss) 00:00:00
Download Time 16:25:49
Download Date 7/29/18
Current Memory Address: 0
Current Battery Voltage: 4.15     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
0.008,-0.004,1.055
0.012,-0.008,1.059
0.016,-0.004,1.055
0.012,-0.004,1.055
0.008,-0.004,1.055
0.016,-0.008,1.059
0.012,-0.004,1.055
0.012,-0.008,1.051
0.008,-0.004,1.055
0.008,-0.008,1.055
0.008,-0.008,1.055
0.004,-0.008,1.055
0,-0.008,1.051
0.004,-0.008,1.051
0.004,-0.008,1.059
0.008,-0.008,1.055
0,-0.012,1.055
-0.004,-0.012,1.059
0.004,-0.008,1.055
0.008,-0.008,1.059
0.008,-0.008,1.055
0.008,-0.008,1.051
0.012,-0.008,1.055
0.016,-0.008,1.055
0.012,-0.008,1.051
0.012,-0.008,1.055
0.012,-0.004,1.055
0.012,-0.004,1.059
0.008,-0.004,1.059
0.012,-0.008,1.059
0.008,-0.008,1.055
0.004,-0.008,1.055
0.008,-0.008,1.055
0.008,0,1.059
0.008,-0.004,1.051
0.008,-0.004,1.059
0.008,-0.008,1.055
0.004,-0.008,1.055
0.004,-0.008,1.055
0.004,-0.008,1.059
0.008,-0.008,1.059
0.004,-0.008,1.059
-0.004,-0.008,1.059
0,-0.008,1.051
0.004,-0.004,1.055
0.004,-0.008,1.055
0.008,0.004,1.051
0.008,-0.004,1.051
0.008,-0.004,1.055
0.012,-0.004,1.055
0.012,-0.008,1.055
0.012,-0.004,1.059
0.008,-0.008,1.059
0.008,-0.008,1.059
0.008,-0.012,1.055
0.008,-0.012,1.055
0.008,-0.008,1.055
0.008,-0.008,1.055
0.004,-0.012,1.055
0.008,-0.008,1.059
0.004,-0.012,1.055
0.008,-0.008,1.059
0.008,-0.008,1.055
0.008,-0.008,1.051
0.012,-0.008,1.055
0.012,-0.004,1.059
0.008,-0.008,1.055
0.008,-0.012,1.055
0.004,-0.004,1.051
0.004,-0.008,1.055
0.008,-0.008,1.051
0.008,-0.008,1.055
0.008,-0.012,1.055
0.008,-0.008,1.059
0.008,-0.008,1.055
0.008,-0.008,1.055
0.012,-0.008,1.055
0.008,-0.008,1.051
0.008,-0.008,1.055
0.012,-0.008,1.051
0.016,-0.008,1.055
0.012,-0.008,1.051
0.008,-0.008,1.055
0.008,-0.004,1.059
0.008,-0.008,1.055
0.004,-0.008,1.051
0.004,-0.004,1.055
0.004,-0.008,1.059
0,-0.008,1.059
0.004,-0.008,1.055
0.004,-0.012,1.059
0.004,-0.012,1.055
-0.004,-0.012,1.051
0.008,-0.008,1.055
0.012,-0.004,1.055
0.012,-0.008,1.055
0.012,-0.008,1.055
0.016,0,1.055
0.012,-0.004,1.055
0.008,-0.004,1.059
0.008,-0.008,1.055
0.012,-0.008,1.055
0.008,-0.008,1.055
0.012,-0.008,1.055
0.012,-0.008,1.055
0.008,-0.008,1.059
0.008,-0.008,1.059
0.008,-0.008,1.059
0.004,-0.008,1.059
0.004,-0.008,1.059
0.008,-0.008,1.059
0.004,-0.008,1.055
0.004,-0.008,1.059
0.008,-0.008,1.059
0.008,-0.004,1.059
0.008,-0.008,1.055
0.008,-0.004,1.055
0.008,-0.008,1.055
0.004,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.008,1.051
0.004,-0.008,1.055
0.008,-0.008,1.055
0.004,-0.008,1.055
0.008,-0.008,1.051
0.016,-0.008,1.051
0.008,-0.016,1.055
0.008,-0.012,1.055
0.004,-0.008,1.059
0.004,-0.012,1.055
0.008,-0.004,1.051
0.008,-0.008,1.055
0.008,-0.008,1.051
0.004,-0.004,1.051
0.004,-0.004,1.051
0.008,-0.004,1.055
0.004,-0.008,1.055
0.004,-0.004,1.055
0.008,-0.008,1.051
0.008,-0.008,1.055
0.008,-0.008,1.059
0.008,-0.004,1.059
-0.004,-0.004,1.055
0.008,-0.004,1.047
0.008,-0.004,1.051
0.008,-0.004,1.055
0.004,-0.004,1.059
0.004,-0.008,1.059
0.012,-0.012,1.055
0.008,-0.008,1.055
0.008,-0.008,1.055
0.004,-0.012,1.055
0.004,-0.008,1.055
0.008,-0.004,1.059
0.008,-0.008,1.059
0.012,-0.008,1.055
0.016,-0.008,1.055
0.012,0,1.051
0.012,-0.004,1.051
0.008,-0.008,1.051
0.012,-0.008,1.055
0.004,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.008,1.059
0.008,-0.008,1.059
0.008,-0.008,1.055
0.008,-0.004,1.051
0.008,-0.008,1.055
0.004,-0.012,1.055
0.008,-0.008,1.059
0.008,-0.008,1.059
0.012,-0.008,1.059
0.012,-0.004,1.055
0.004,-0.008,1.059
0.008,-0.004,1.055
0.004,-0.008,1.055
0.012,-0.008,1.055
0.004,-0.008,1.055
0.004,-0.012,1.055
0,-0.008,1.055
-0.004,-0.012,1.059
0,-0.008,1.059
0,-0.012,1.055
0.004,0,1.051
0.004,-0.004,1.051
0.008,0,1.055
0.008,-0.004,1.059
0.012,-0.004,1.059
0.012,-0.008,1.055
0.016,-0.008,1.055
0.012,-0.004,1.055
0.02,-0.008,1.055
0.004,-0.008,1.055
0.004,-0.012,1.055
0.008,-0.008,1.047
0.004,-0.008,1.055
0.004,-0.004,1.055
0.008,-0.008,1.051
0.004,-0.008,1.051
0,-0.008,1.051
0,-0.008,1.055
0,-0.008,1.055
0.004,-0.008,1.059
0,-0.008,1.059
0.004,-0.008,1.059
0.012,-0.008,1.059
0.008,-0.008,1.059
0.012,-0.008,1.059
0.012,-0.008,1.059
0.008,-0.008,1.055
0.008,-0.008,1.055
0.016,0,1.059
0.012,-0.008,1.059
0.012,-0.008,1.055
0.004,-0.008,1.055
0.004,-0.008,1.059
0.004,-0.008,1.055
0.004,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.008,1.051
0.008,-0.008,1.055
0.008,-0.008,1.055
0,-0.012,1.059
0,-0.008,1.055
0.004,-0.008,1.055
0.012,-0.008,1.055
0.012,-0.004,1.055
0,-0.008,1.051
0,-0.008,1.051
0.004,-0.008,1.051
0.004,-0.008,1.055
0.008,-0.004,1.055
0.008,-0.008,1.055
0.008,-0.004,1.055
0.012,-0.004,1.059
0.008,-0.008,1.059
0.008,-0.008,1.059
0.012,-0.008,1.055
0.008,-0.012,1.055
0.004,-0.008,1.055
0.004,-0.004,1.055
-0.004,-0.004,1.059
0,-0.008,1.055
0.004,-0.008,1.055
0.004,-0.008,1.055
0.004,-0.008,1.059
0.004,-0.008,1.055
0.004,-0.008,1.055
0.004,-0.008,1.051
0.008,-0.008,1.055
0.004,-0.008,1.051
0.008,-0.008,1.051
0.004,-0.008,1.055
0.008,-0.008,1.059
0.008,-0.008,1.055
0.012,0,1.055
0.008,-0.004,1.059
0.004,-0.008,1.055
0.008,-0.008,1.055
0.012,-0.008,1.051
0.008,-0.008,1.055
0.004,-0.004,1.055
0.008,-0.008,1.051
0.004,-0.008,1.055
0.004,-0.008,1.059
0.008,-0.008,1.059
0.008,-0.008,1.059
0.004,-0.008,1.055
0.004,-0.008,1.055
0,-0.008,1.055
0.004,-0.008,1.055
0.004,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.012,1.055
0.008,-0.012,1.055
0,-0.008,1.059
0.004,-0.008,1.059
0.004,-0.008,1.059
0.004,-0.008,1.055
0.008,-0.004,1.055
0.008,-0.008,1.059
0.008,-0.008,1.055
0.012,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.008,1.059
0.004,-0.008,1.055
0.008,-0.008,1.059
0.008,-0.004,1.051
0.008,-0.008,1.051
0.008,-0.004,1.055
-0.004,-0.004,1.059
0.004,-0.004,1.059
0.008,-0.008,1.059
0.004,-0.008,1.055
0.004,-0.008,1.051
0.004,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.008,1.051
0.012,-0.008,1.059
0.008,-0.008,1.059
0.004,-0.008,1.059
0.004,-0.004,1.055
0.004,-0.008,1.059
0.004,-0.004,1.059
0.004,-0.008,1.055
0.012,-0.004,1.059
0.008,-0.004,1.055
0.004,-0.004,1.055
0.008,-0.008,1.055
0.012,-0.008,1.055
0.012,-0.008,1.055
0.012,-0.012,1.055
0.016,-0.008,1.055
0.012,-0.008,1.055
0.012,-0.012,1.055
0.008,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.008,1.055
0.012,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.004,1.055
0.004,-0.008,1.055
0.004,-0.008,1.059
0.004,-0.008,1.055
0.004,-0.008,1.051
0.008,-0.008,1.055
0.008,-0.008,1.059
0.012,-0.004,1.059
0.012,-0.004,1.059
0.008,-0.008,1.059
0.004,-0.008,1.059
0.012,-0.008,1.059
0.008,-0.008,1.059
0.012,-0.008,1.059
0.016,-0.008,1.055
0.012,-0.008,1.055
0.012,-0.004,1.055
0.004,-0.012,1.051
0,-0.004,1.051
0,-0.008,1.047
-0.004,-0.008,1.051
0,-0.004,1.055
0.004,-0.004,1.055
0.008,-0.008,1.051
0.004,-0.008,1.055
0,-0.008,1.055
0.004,-0.004,1.055
0.004,-0.008,1.051
0.012,-0.008,1.055
0.008,-0.008,1.059
0.008,-0.012,1.055
0.012,-0.008,1.055
0.016,-0.004,1.055
0.012,-0.004,1.059
0.008,-0.008,1.059
0.004,-0.008,1.059
0.004,-0.004,1.059
0.008,-0.004,1.055
0.004,-0.004,1.055
0.004,-0.008,1.059
0.004,-0.008,1.059
0.004,-0.004,1.051
0.008,-0.004,1.055
0.004,-0.008,1.051
0,-0.012,1.055
0,-0.008,1.055
0.004,-0.012,1.055
0,-0.008,1.055
0.004,-0.012,1.055
0.004,-0.008,1.055
0.008,-0.012,1.059
0.012,-0.008,1.051
0.008,-0.008,1.055
0.008,-0.008,1.055
0.016,-0.008,1.059
0.012,-0.008,1.059
0.008,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.008,1.059
0.012,-0.008,1.055
0.012,-0.008,1.055
0.012,-0.008,1.055
0.008,-0.008,1.055
0.012,-0.008,1.055
0.008,-0.004,1.055
0.008,-0.004,1.055
0.008,-0.008,1.051
0.008,-0.004,1.059
-0.008,-0.008,1.055
0,-0.008,1.059
0,-0.008,1.055
0,-0.004,1.055
0.004,-0.008,1.055
0.004,-0.008,1.055
0,-0.012,1.055
0.004,-0.004,1.059
0.008,-0.004,1.055
0.016,-0.004,1.059
0.012,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.012,1.055
0.008,-0.008,1.051
0.012,-0.012,1.055
0.008,-0.008,1.051
0.008,-0.004,1.055
0.012,-0.008,1.055
0.016,-0.008,1.059
0.008,-0.008,1.051
0.008,-0.004,1.055
0.012,-0.004,1.059
0.012,-0.004,1.059
0.008,-0.008,1.059
0.012,-0.008,1.059
0.008,-0.008,1.055
0.004,-0.008,1.055
0.004,-0.008,1.055
0.008,-0.004,1.055
0.008,-0.004,1.059
0.008,-0.008,1.059
0.004,-0.008,1.059
0.004,-0.008,1.055
0.004,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.008,1.059
0.012,-0.008,1.055
0.016,-0.008,1.059
0.012,-0.004,1.055
0.012,-0.004,1.059
0.012,-0.008,1.055
0.004,-0.008,1.055
0.004,-0.004,1.059
0.012,-0.004,1.059
0.004,-0.004,1.055
0,-0.008,1.055
0.008,-0.008,1.055
0.012,-0.008,1.059
0.008,-0.008,1.059
0.008,-0.008,1.059
0.004,-0.008,1.059
0.004,-0.008,1.051
0.004,-0.008,1.055
0.004,-0.008,1.059
0.004,-0.008,1.059
0.012,-0.004,1.051
0.008,-0.008,1.055
0.004,-0.008,1.055
0.008,-0.008,1.055
0.016,-0.008,1.055
0.008,-0.008,1.055
0.012,-0.008,1.055
0.004,-0.012,1.055
0.008,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.004,1.055
0.012,-0.004,1.055
0.012,-0.008,1.055
0.012,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.008,1.051
0.008,-0.008,1.055
0.004,-0.008,1.059
0.008,-0.008,1.051
0.008,-0.008,1.051
0.008,-0.008,1.051
0.008,-0.008,1.055
0.012,-0.008,1.059
0.012,-0.008,1.055
0.004,-0.008,1.051
0.008,-0.004,1.055
0.008,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.004,1.055
0,-0.004,1.059
0.004,-0.008,1.059
0.008,-0.008,1.055
0.004,-0.008,1.055
0.008,-0.008,1.051
0.004,-0.008,1.051
0.008,-0.008,1.055
0.008,-0.008,1.051
0.012,-0.004,1.051
0.012,-0.008,1.059
0.012,-0.008,1.059
0.008,-0.008,1.059
0.008,-0.008,1.055
0.008,-0.008,1.055
0.012,-0.008,1.051
0.012,-0.008,1.051
0,-0.004,1.051
0.004,-0.012,1.051
0.008,-0.008,1.051
0.004,-0.008,1.047
0.004,-0.008,1.051
0.004,-0.008,1.055
0.004,-0.008,1.059
0.004,-0.008,1.059
0.008,-0.008,1.059
0.008,-0.004,1.059
0.008,-0.008,1.055
0.008,0,1.055
0.004,-0.008,1.055
0.004,-0.008,1.055
0.004,-0.008,1.059
0.004,-0.008,1.059
0.004,-0.008,1.059
0.008,-0.004,1.051
0.008,-0.008,1.059
0,-0.008,1.059
0.008,-0.008,1.055
0.012,-0.008,1.059
0.016,-0.008,1.059
0.008,-0.004,1.059
0.008,-0.004,1.055
0.008,-0.008,1.055
0.012,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.008,1.059
0.004,-0.008,1.055
0.012,-0.008,1.055
0.008,-0.008,1.059
0.012,-0.004,1.055
0.012,-0.008,1.055
0.008,-0.008,1.059
0.012,-0.008,1.055
0.012,-0.008,1.055
0.012,-0.008,1.055
0.008,-0.004,1.055
0.004,-0.012,1.059
0.008,-0.012,1.055
0.008,-0.008,1.051
0.008,-0.008,1.051
0.008,-0.008,1.055
0.008,-0.008,1.055
0.004,-0.012,1.055
0.008,-0.008,1.055
0.004,-0.008,1.055
0.004,-0.012,1.055
0.008,-0.012,1.055
-0.004,-0.008,1.055
0.004,-0.008,1.055
0.012,-0.008,1.055
0.012,-0.008,1.055
0.012,-0.008,1.055
0.016,-0.008,1.059
0.008,-0.012,1.059
0.004,-0.008,1.059
0.008,-0.008,1.055
0.004,-0.008,1.055
0,-0.008,1.051
0.004,-0.004,1.051
0.004,-0.004,1.055
0.008,-0.008,1.055
0.008,-0.008,1.059
0.012,-0.008,1.059
0.02,-0.008,1.059
0.012,-0.004,1.055
0.012,-0.008,1.059
0.008,-0.008,1.059
0.004,-0.004,1.055
0.008,0,1.059
0.012,-0.004,1.055
0.008,-0.008,1.055
0.008,-0.012,1.051
0.008,-0.008,1.051
0.008,-0.008,1.055
0.008,-0.004,1.051
0.004,-0.004,1.055
0.004,-0.004,1.055
0.008,-0.008,1.059
0.008,-0.008,1.059
0.012,0,1.055
0.004,-0.008,1.059
0.004,-0.004,1.055
0.008,-0.008,1.059
0.012,-0.008,1.059
0.008,-0.008,1.059
0.004,-0.004,1.051
0.004,-0.008,1.051
0.004,-0.004,1.055
0.004,-0.004,1.055
0.004,-0.004,1.059
0.004,-0.012,1.059
0.008,-0.008,1.059
0.008,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.008,1.055
0.012,-0.004,1.051
0.012,-0.004,1.059
0,-0.004,1.059
0.008,-0.008,1.059
0.008,-0.008,1.055
0.004,-0.008,1.059
0.004,-0.008,1.059
0.004,-0.008,1.059
0.008,-0.008,1.055
0.008,-0.004,1.055
0.008,-0.004,1.051
0.004,-0.008,1.055
0.004,-0.012,1.055
0.004,-0.008,1.055
0.008,-0.008,1.059
0.004,-0.008,1.059
0.004,-0.012,1.059
0.012,-0.008,1.055
0.008,-0.008,1.059
0.008,-0.008,1.059
0.012,-0.008,1.055
0.008,-0.012,1.055
0.004,-0.008,1.055
0.008,-0.008,1.055
0.012,-0.004,1.059
0.008,-0.008,1.055
0.008,-0.008,1.051
0.008,-0.008,1.055
0.004,-0.012,1.055
0.012,-0.008,1.059
0.008,-0.008,1.059
0.004,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.008,1.055
0.004,-0.008,1.055
0.004,-0.008,1.055
0.004,-0.008,1.055
0.008,-0.004,1.055
0.008,-0.008,1.059
0.008,-0.008,1.055
0.008,-0.008,1.055
0.004,-0.008,1.059
0.008,-0.004,1.055
0.004,-0.008,1.055
0.004,-0.008,1.059
0.004,-0.008,1.059
0,-0.008,1.059
0.008,-0.008,1.059
0.012,-0.008,1.059
0.012,-0.008,1.059
0.008,-0.008,1.055
0.008,-0.008,1.055
0,-0.004,1.055
0.008,-0.004,1.047
0.012,-0.008,1.047
0.008,-0.008,1.055
0.004,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.008,1.059
0.004,-0.008,1.055
0.004,-0.008,1.059
0.012,-0.008,1.059
0.008,-0.008,1.055
0.012,-0.008,1.051
0.012,-0.004,1.051
0.008,-0.008,1.055
0.008,-0.008,1.059
0.004,-0.008,1.059
0.008,-0.008,1.055
0.004,-0.008,1.051
0.004,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.008,1.059
0.004,-0.008,1.059
0.008,-0.008,1.055
0.012,-0.008,1.055
0.012,-0.008,1.051
0.008,-0.008,1.055
0.008,-0.004,1.051
0.008,-0.008,1.055
0.012,-0.004,1.055
0.012,-0.008,1.055
0.008,0,1.059
0.008,-0.012,1.059
0.008,-0.008,1.055
0,-0.008,1.055
0.004,-0.008,1.055
0.004,-0.008,1.055
0.012,-0.004,1.055
0.008,-0.004,1.055
0.008,-0.008,1.055
0.008,-0.008,1.055
0.004,-0.008,1.055
0.008,-0.008,1.055
0.016,-0.008,1.059
0.008,-0.008,1.055
0.008,-0.008,1.055
0.012,-0.008,1.059
0.012,-0.004,1.059
0.008,-0.008,1.055
0.004,-0.012,1.055
-0.004,-0.012,1.059
0,-0.012,1.059
0.008,-0.008,1.055
0.008,-0.004,1.055
0.012,-0.004,1.055
0.012,-0.004,1.055
0.008,-0.004,1.055
0.012,-0.008,1.055
0.008,-0.004,1.055
0.008,-0.004,1.055
0.004,-0.008,1.051
0.008,-0.008,1.055
0.008,-0.004,1.051
0.008,-0.004,1.055
0.008,-0.008,1.055
0.004,-0.008,1.051
0.004,-0.008,1.051
0.012,-0.008,1.051
0.012,-0.004,1.051
0.008,-0.012,1.051
0.004,-0.008,1.051
0.004,-0.008,1.051
0.008,-0.008,1.055
0.004,-0.008,1.051
0.008,-0.008,1.055
0.008,-0.008,1.051
0.008,-0.008,1.051
0.008,-0.008,1.055
0.016,-0.008,1.055
0.012,-0.008,1.059
0.008,-0.008,1.059
0.008,-0.008,1.055
0.004,-0.008,1.055
0.004,-0.004,1.059
0.004,-0.004,1.055
0.008,-0.004,1.059
0.004,-0.008,1.059
0.004,-0.008,1.055
0.004,-0.008,1.055
0.008,-0.004,1.055
0.012,-0.004,1.055
0.008,-0.008,1.055
0.008,-0.004,1.055
0.012,-0.004,1.055
0.008,-0.008,1.059
0.004,-0.008,1.055
0.004,-0.008,1.059
0.004,-0.008,1.055
0.004,-0.012,1.059
0.008,-0.008,1.059
0,-0.008,1.055
0.008,-0.008,1.055
0.016,-0.008,1.055
0.012,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.008,1.055
0.004,-0.008,1.055
0.008,-0.008,1.051
0.012,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.008,1.051
0.008,-0.012,1.055
0.008,-0.008,1.051
0.008,-0.008,1.051
0.008,-0.008,1.055
0.004,-0.008,1.055
0,-0.008,1.059
0.008,-0.008,1.055
0.004,-0.004,1.055
0.008,0,1.055
0.012,-0.004,1.055
0.008,-0.008,1.055
0.008,-0.008,1.055
0.012,-0.008,1.059
0.008,-0.008,1.059
0.008,-0.012,1.059
0.004,-0.012,1.059
0.008,-0.008,1.055
0.008,-0.004,1.055
0.012,-0.008,1.059
0.008,-0.008,1.055
0.008,-0.008,1.055
0.004,-0.008,1.055
0.004,-0.008,1.055
0.004,-0.008,1.059
0.004,-0.008,1.055
0.008,-0.004,1.059
0.012,-0.008,1.059
0.016,-0.004,1.059
0.012,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.008,1.047
0.008,-0.008,1.055
0.004,-0.008,1.055
0.012,-0.008,1.051
0.008,-0.008,1.055
0.004,-0.008,1.051
0.008,-0.004,1.055
0.008,-0.008,1.051
-0.004,-0.008,1.051
0.004,-0.008,1.047
0,-0.012,1.047
0.004,-0.008,1.051
0.004,-0.008,1.055
0,-0.008,1.055
0.008,-0.008,1.051
0.012,-0.012,1.055
0.012,-0.008,1.055
0.008,-0.008,1.055
0.004,-0.008,1.055
0.004,-0.008,1.051
0.008,-0.012,1.055
0.004,-0.012,1.055
0.004,-0.008,1.051
0.004,-0.008,1.059
0.004,-0.008,1.055
0.008,-0.008,1.059
0.008,-0.008,1.051
0.012,-0.008,1.055
0.012,-0.008,1.055
0.008,-0.012,1.051
0.008,-0.008,1.059
0.004,-0.008,1.059
0.008,-0.008,1.059
0.012,-0.008,1.055
0.012,-0.008,1.055
0.008,-0.008,1.059
0.004,-0.012,1.059
0,-0.008,1.059
0.004,-0.008,1.055
0.004,-0.004,1.059
0.012,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.008,1.051
0.008,-0.008,1.051
0.008,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.008,1.051
0.004,-0.008,1.055
0.004,-0.008,1.055
0.008,-0.008,1.059
0.004,-0.008,1.055
0.004,-0.008,1.059
0.004,-0.008,1.059
0.008,-0.004,1.051
0.012,-0.004,1.055
0.008,-0.008,1.059
0.004,-0.008,1.055
0,-0.008,1.055
0.004,-0.004,1.047
0.008,-0.004,1.051
0.016,-0.004,1.051
0.008,-0.012,1.055
0.008,-0.008,1.055
0.008,-0.008,1.059
0.012,-0.008,1.059
0.012,-0.008,1.055
0.008,-0.012,1.055
0.012,-0.008,1.055
0.008,-0.008,1.047
0.012,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.004,1.055
0.008,-0.008,1.055
0.004,-0.008,1.055
0.008,-0.008,1.059
0.008,-0.008,1.055
0.012,-0.008,1.055
0.008,-0.008,1.055
0.012,-0.008,1.055
0.008,-0.008,1.055
0.012,-0.004,1.059
0.016,-0.004,1.055
0.008,-0.008,1.055
0.008,-0.004,1.055
0.012,-0.004,1.055
0.016,-0.004,1.059
0.02,-0.004,1.055
0.016,-0.008,1.059
0.012,-0.008,1.059
0.008,-0.008,1.059
0.008,-0.008,1.055
0.012,-0.012,1.055
0.004,-0.008,1.059
0.008,-0.008,1.059
0.004,-0.008,1.059
0,-0.012,1.059
0.004,-0.012,1.055
0.012,-0.008,1.051
0.012,0,1.055
0.008,-0.004,1.055
0.012,-0.004,1.055
0.016,-0.008,1.055
0.012,-0.008,1.059
0.016,-0.004,1.055
0.016,-0.008,1.059
0.016,-0.008,1.055
0.016,-0.008,1.055
0.004,-0.008,1.051
0.008,-0.008,1.055
0.004,-0.012,1.051
0.004,-0.012,1.051
0.004,-0.008,1.051
0.008,-0.008,1.055
0.004,-0.008,1.055
0.004,-0.012,1.055
0.004,-0.008,1.055
0.004,-0.012,1.059
0.004,-0.008,1.055
0.004,-0.004,1.055
0.004,-0.004,1.059
0.008,-0.004,1.051
0.016,-0.004,1.055
0.016,-0.008,1.055
0.016,-0.008,1.055
0.016,-0.008,1.055
0.016,-0.004,1.055
0.012,-0.008,1.059
0.008,-0.004,1.055
0.008,-0.008,1.059
0.008,-0.008,1.051
0.008,-0.008,1.051
0.008,-0.008,1.059
0.008,-0.008,1.059
0.008,-0.008,1.051
0.004,-0.008,1.051
0.004,-0.012,1.051
0,-0.016,1.055
0.004,-0.012,1.055
0.008,-0.008,1.051
0.012,-0.008,1.055
0.008,-0.008,1.059
0.008,-0.008,1.055
0.012,-0.004,1.059
0.008,-0.008,1.055
0.012,-0.004,1.055
0.012,-0.012,1.051
0.012,-0.004,1.051
0.016,-0.004,1.055
0.012,-0.008,1.055
0.012,-0.008,1.055
0.012,-0.008,1.059
0.012,-0.004,1.059
0.008,-0.008,1.059
0.012,0,1.055
0.008,-0.004,1.055
0.004,-0.008,1.055
0.008,-0.008,1.055
0,-0.008,1.055
0.012,-0.008,1.059
0.012,-0.008,1.055
0.008,-0.008,1.051
0.004,-0.008,1.051
0.004,-0.008,1.051
0.004,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.004,1.055
0.008,-0.004,1.055
0.008,0,1.055
0.008,-0.004,1.055
0.012,-0.004,1.059
0.012,-0.008,1.055
0.012,-0.008,1.055
0.012,-0.008,1.055
0.016,-0.004,1.055
0.012,-0.004,1.055
0.012,-0.008,1.055
0.016,-0.008,1.059
0.012,-0.008,1.055
0.012,-0.008,1.059
0.008,-0.004,1.059
0.004,-0.004,1.055
0.004,-0.008,1.055
0.008,-0.004,1.059
0.004,-0.004,1.055
0.004,-0.004,1.055
0.004,-0.008,1.055
0.008,-0.008,1.051
0.004,-0.008,1.051
0,-0.008,1.055
0.004,-0.004,1.055
0.008,-0.008,1.051
0.004,-0.008,1.055
0.008,-0.008,1.059
0.004,-0.004,1.059
0.012,-0.012,1.059
0.008,-0.012,1.059
0.008,-0.008,1.055
0.008,-0.008,1.055
0.012,-0.004,1.055
0.012,-0.004,1.059
0.008,-0.008,1.059
0.004,-0.012,1.055
0.004,-0.008,1.055
0.004,-0.008,1.055
0.008,-0.004,1.055
0.008,-0.004,1.059
0.004,-0.008,1.055
-0.004,-0.008,1.055
0.004,-0.008,1.055
0.012,-0.008,1.059
0.012,-0.008,1.051
0.012,0,1.051
0.008,-0.004,1.055
0.012,-0.004,1.055
0.008,-0.008,1.051
0.004,-0.008,1.055
0.004,-0.004,1.059
0.008,-0.004,1.059
0.004,-0.004,1.055
0.012,-0.004,1.055
0.012,-0.004,1.051
0.008,-0.008,1.059
0.008,-0.008,1.055
0.004,-0.008,1.055
0.004,-0.008,1.055
0.004,-0.008,1.055
0.004,-0.008,1.055
0.008,-0.008,1.051
0.008,-0.008,1.055
0.008,-0.008,1.051
0.008,-0.008,1.051
0.008,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.008,1.055
0.012,-0.008,1.059
0.012,-0.008,1.059
0.008,-0.008,1.059
0.004,-0.008,1.055
0.008,-0.008,1.059
0,-0.008,1.059
0.004,-0.008,1.059
0.008,-0.004,1.055
0.004,-0.004,1.055
0.008,-0.004,1.059
0.008,-0.004,1.059
0.004,-0.004,1.059
0.008,-0.008,1.059
0.008,-0.008,1.059
0.008,-0.008,1.055
0.012,-0.004,1.051
0.012,-0.004,1.051
0.012,-0.004,1.051
0.008,-0.004,1.047
0.008,-0.008,1.055
0.004,-0.004,1.055
0.004,-0.008,1.051
0.004,-0.008,1.059
-0.008,-0.004,1.055
0.004,-0.008,1.055
0.004,-0.008,1.051
0.004,-0.008,1.051
0.004,-0.008,1.051
0.004,-0.008,1.055
0.004,-0.008,1.059
0.004,-0.008,1.059
0.008,-0.008,1.055
0.008,-0.008,1.055
0.008,-0.008,1.055
0.012,-0.012,1.059
0.012,-0.012,1.059
0.008,-0.008,1.059
0.008,-0.008,1.059
0.004,-0.004,1.059
0.004,-0.004,1.055
0.008,-0.008,1.055
0.008,-0.004,1.051
0.008,-0.004,1.055
0.004,-0.008,1.055
0,-0.012,1.051
0.004,-0.008,1.055
0.004,-0.008,1.051
0.012,-0.008,1.055
0.004,-0.008,1.059
0.004,-0.008,1.051
0.012,-0.008,1.055
