------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy at 100 Hz  Filter Normal -----------
Serial Number: TAS1E52150597
Start Time 17:45:00
Start Date 7/29/18
Epoch Period (hh:mm:ss) 00:00:00
Download Time 17:48:16
Download Date 7/29/18
Current Memory Address: 0
Current Battery Voltage: 4.16     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
0.988,0.246,0.063
0.984,0.246,0.059
0.988,0.246,0.059
0.988,0.246,0.055
0.996,0.25,0.059
0.996,0.242,0.063
0.996,0.242,0.055
0.988,0.238,0.059
0.984,0.234,0.059
0.984,0.242,0.059
0.984,0.238,0.059
0.988,0.238,0.063
0.988,0.238,0.059
0.988,0.242,0.063
0.988,0.238,0.063
0.992,0.238,0.063
0.988,0.242,0.063
0.992,0.242,0.063
0.996,0.242,0.063
0.992,0.246,0.055
0.988,0.254,0.059
0.984,0.242,0.063
0.988,0.246,0.059
0.992,0.242,0.063
0.992,0.238,0.063
0.992,0.238,0.063
0.992,0.242,0.059
0.992,0.246,0.063
0.992,0.246,0.066
0.984,0.242,0.066
0.988,0.242,0.063
0.984,0.242,0.059
0.984,0.242,0.059
0.988,0.242,0.063
0.988,0.242,0.059
0.988,0.246,0.059
0.988,0.242,0.059
0.988,0.246,0.059
0.988,0.242,0.059
0.988,0.242,0.059
0.992,0.246,0.059
0.988,0.246,0.059
0.988,0.246,0.059
0.988,0.242,0.063
0.988,0.238,0.066
0.992,0.242,0.063
0.988,0.246,0.063
0.992,0.246,0.066
0.988,0.242,0.063
0.988,0.242,0.063
0.992,0.242,0.063
0.988,0.242,0.059
0.988,0.238,0.055
0.984,0.238,0.055
0.988,0.242,0.055
0.992,0.246,0.055
0.996,0.246,0.059
0.992,0.246,0.059
0.992,0.242,0.063
0.992,0.242,0.059
0.992,0.246,0.059
1,0.246,0.059
0.992,0.242,0.059
0.996,0.246,0.055
0.996,0.25,0.059
0.992,0.246,0.063
0.988,0.25,0.063
0.984,0.242,0.063
0.98,0.246,0.063
0.984,0.246,0.066
0.973,0.246,0.066
0.977,0.242,0.059
0.98,0.246,0.059
0.984,0.242,0.063
0.988,0.242,0.063
0.988,0.242,0.063
0.988,0.242,0.063
0.996,0.246,0.063
1,0.242,0.063
0.996,0.238,0.063
0.988,0.238,0.055
0.988,0.234,0.059
0.992,0.242,0.055
0.992,0.242,0.055
0.996,0.242,0.063
0.992,0.238,0.063
0.992,0.234,0.059
0.988,0.238,0.055
0.992,0.242,0.055
0.988,0.242,0.059
0.984,0.238,0.063
0.984,0.234,0.066
0.988,0.238,0.063
0.992,0.242,0.063
0.992,0.246,0.063
0.992,0.25,0.059
0.992,0.246,0.063
0.988,0.242,0.063
0.984,0.238,0.063
0.988,0.238,0.063
0.988,0.246,0.066
0.988,0.246,0.066
0.988,0.238,0.066
0.988,0.242,0.066
0.984,0.242,0.066
0.988,0.242,0.066
0.992,0.246,0.066
0.992,0.246,0.066
0.992,0.246,0.063
0.992,0.246,0.063
0.996,0.246,0.063
0.992,0.242,0.059
0.992,0.242,0.059
0.992,0.238,0.055
0.988,0.238,0.055
0.988,0.238,0.055
0.988,0.242,0.059
0.992,0.246,0.059
0.988,0.238,0.055
0.984,0.238,0.059
0.977,0.238,0.059
0.984,0.238,0.066
0.988,0.242,0.059
0.988,0.242,0.059
0.992,0.246,0.059
0.992,0.246,0.063
0.988,0.238,0.063
0.992,0.238,0.063
0.992,0.242,0.059
0.988,0.238,0.059
0.992,0.242,0.063
0.988,0.246,0.059
0.988,0.246,0.059
0.988,0.246,0.063
0.992,0.25,0.063
0.992,0.25,0.063
0.988,0.246,0.063
0.988,0.242,0.063
0.988,0.246,0.059
0.988,0.246,0.059
0.988,0.246,0.063
0.988,0.246,0.059
0.988,0.242,0.059
0.988,0.242,0.055
0.988,0.242,0.059
0.988,0.242,0.059
0.988,0.238,0.059
0.988,0.242,0.063
0.988,0.238,0.059
0.984,0.242,0.063
0.988,0.242,0.055
0.988,0.242,0.055
0.988,0.242,0.055
0.988,0.238,0.059
0.984,0.242,0.066
0.988,0.246,0.063
0.992,0.246,0.063
0.996,0.246,0.063
0.992,0.246,0.059
0.992,0.238,0.059
0.988,0.242,0.059
0.984,0.238,0.059
0.984,0.238,0.059
0.996,0.246,0.059
0.992,0.246,0.063
0.988,0.246,0.066
0.984,0.246,0.066
0.988,0.242,0.063
0.992,0.238,0.063
0.992,0.238,0.059
0.984,0.242,0.059
0.984,0.246,0.059
0.992,0.246,0.059
0.988,0.246,0.059
0.984,0.238,0.063
0.984,0.238,0.066
0.984,0.238,0.066
0.98,0.242,0.063
0.988,0.242,0.063
0.984,0.242,0.059
0.98,0.242,0.063
0.984,0.242,0.066
0.984,0.242,0.063
0.988,0.238,0.063
0.992,0.242,0.059
0.988,0.246,0.063
0.988,0.25,0.063
0.992,0.242,0.059
0.992,0.238,0.059
0.988,0.234,0.059
0.988,0.234,0.059
0.984,0.238,0.055
0.988,0.238,0.051
0.984,0.242,0.055
0.988,0.242,0.059
0.988,0.238,0.059
0.984,0.238,0.059
0.984,0.242,0.063
0.988,0.238,0.059
0.988,0.234,0.059
0.988,0.234,0.063
0.988,0.238,0.066
0.988,0.242,0.063
0.988,0.246,0.066
0.988,0.25,0.07
0.988,0.246,0.063
0.984,0.246,0.059
0.984,0.242,0.063
0.984,0.238,0.063
0.984,0.238,0.066
0.984,0.238,0.066
0.984,0.242,0.07
0.984,0.242,0.066
0.988,0.246,0.063
0.988,0.246,0.063
0.992,0.246,0.063
0.992,0.242,0.066
0.992,0.238,0.066
0.996,0.246,0.059
0.992,0.246,0.066
0.977,0.238,0.063
0.984,0.238,0.063
0.988,0.242,0.063
0.988,0.242,0.063
0.984,0.238,0.066
0.984,0.238,0.063
0.984,0.234,0.059
0.988,0.238,0.063
0.984,0.238,0.063
0.984,0.242,0.063
0.984,0.242,0.059
0.988,0.246,0.059
0.988,0.246,0.055
0.984,0.246,0.059
0.988,0.246,0.063
0.992,0.242,0.059
0.992,0.246,0.066
0.988,0.246,0.066
0.988,0.238,0.063
0.992,0.246,0.063
0.992,0.254,0.063
0.988,0.246,0.063
0.984,0.242,0.063
0.984,0.238,0.063
0.988,0.238,0.059
0.988,0.242,0.055
0.988,0.238,0.055
0.988,0.242,0.063
0.984,0.242,0.059
0.98,0.246,0.059
0.988,0.246,0.063
0.988,0.242,0.063
0.988,0.242,0.063
0.988,0.242,0.063
0.984,0.238,0.063
0.988,0.238,0.059
0.988,0.246,0.059
0.984,0.238,0.059
0.984,0.238,0.059
0.984,0.242,0.063
0.988,0.242,0.063
0.992,0.246,0.063
0.984,0.238,0.059
0.988,0.242,0.059
0.988,0.242,0.055
0.984,0.242,0.059
0.988,0.25,0.059
0.988,0.246,0.063
0.988,0.246,0.063
0.988,0.246,0.059
0.977,0.246,0.059
0.98,0.242,0.059
0.977,0.242,0.055
0.98,0.242,0.055
0.98,0.246,0.055
0.988,0.246,0.059
0.988,0.242,0.063
0.992,0.242,0.066
0.988,0.246,0.063
0.988,0.242,0.066
0.992,0.242,0.055
0.992,0.238,0.055
0.992,0.242,0.059
0.992,0.238,0.059
0.992,0.238,0.063
0.996,0.242,0.066
0.992,0.242,0.07
0.988,0.242,0.063
0.984,0.242,0.063
0.984,0.242,0.066
0.984,0.242,0.063
0.984,0.238,0.063
0.98,0.238,0.059
0.984,0.242,0.063
0.984,0.242,0.063
0.988,0.246,0.063
0.984,0.246,0.063
0.988,0.246,0.066
0.992,0.25,0.066
0.992,0.25,0.059
0.996,0.246,0.055
0.992,0.242,0.055
0.992,0.238,0.059
0.992,0.238,0.055
0.992,0.242,0.055
0.988,0.246,0.059
0.988,0.242,0.059
0.988,0.242,0.063
0.988,0.246,0.063
0.988,0.238,0.063
0.984,0.238,0.059
0.984,0.234,0.063
0.984,0.242,0.059
0.988,0.246,0.059
0.992,0.242,0.063
0.992,0.246,0.063
0.988,0.246,0.066
0.984,0.238,0.066
0.988,0.238,0.066
0.988,0.246,0.066
0.98,0.25,0.063
0.98,0.238,0.07
0.984,0.238,0.066
0.984,0.238,0.066
0.988,0.242,0.066
0.992,0.242,0.066
0.992,0.246,0.063
0.996,0.246,0.063
0.988,0.242,0.059
0.996,0.242,0.063
0.996,0.238,0.063
0.992,0.238,0.063
0.988,0.238,0.066
0.988,0.242,0.066
0.988,0.234,0.063
0.988,0.238,0.063
0.992,0.242,0.059
0.988,0.242,0.059
0.984,0.246,0.055
0.984,0.242,0.059
0.984,0.242,0.055
0.984,0.246,0.063
0.984,0.242,0.059
0.988,0.246,0.059
0.988,0.25,0.063
0.984,0.25,0.063
0.988,0.25,0.066
0.992,0.246,0.063
0.984,0.246,0.063
0.984,0.246,0.063
0.984,0.246,0.059
0.988,0.246,0.063
0.984,0.246,0.059
0.988,0.246,0.063
0.988,0.246,0.063
0.988,0.242,0.063
0.992,0.242,0.059
0.992,0.242,0.055
0.992,0.242,0.059
0.992,0.242,0.063
0.988,0.246,0.063
0.984,0.246,0.063
0.984,0.242,0.063
0.984,0.238,0.063
0.992,0.242,0.059
0.988,0.246,0.063
0.984,0.242,0.063
0.984,0.238,0.063
0.988,0.246,0.059
0.988,0.242,0.059
0.98,0.242,0.059
0.98,0.238,0.055
0.984,0.246,0.059
0.984,0.246,0.059
0.984,0.242,0.059
0.984,0.246,0.063
0.988,0.242,0.059
0.988,0.246,0.063
0.992,0.25,0.063
0.996,0.25,0.063
0.992,0.246,0.066
0.988,0.246,0.066
0.988,0.246,0.063
0.988,0.242,0.063
0.984,0.238,0.063
0.98,0.238,0.059
0.98,0.234,0.051
0.984,0.242,0.055
0.988,0.242,0.059
0.988,0.25,0.063
0.984,0.242,0.063
0.988,0.238,0.066
0.992,0.238,0.063
0.992,0.238,0.059
0.992,0.238,0.063
0.992,0.238,0.066
0.992,0.242,0.063
0.992,0.25,0.059
0.992,0.246,0.063
0.992,0.246,0.063
0.984,0.242,0.059
0.984,0.242,0.059
0.988,0.242,0.063
0.984,0.242,0.063
0.98,0.242,0.066
0.984,0.246,0.063
0.984,0.246,0.063
0.984,0.246,0.063
0.988,0.246,0.063
0.992,0.242,0.059
0.992,0.242,0.063
0.992,0.238,0.063
0.992,0.238,0.063
0.992,0.238,0.055
0.988,0.238,0.063
0.988,0.242,0.059
0.996,0.242,0.055
0.996,0.242,0.063
0.992,0.242,0.063
0.988,0.242,0.059
0.973,0.246,0.059
0.977,0.238,0.066
0.98,0.238,0.055
0.984,0.238,0.059
0.984,0.234,0.059
0.984,0.234,0.063
0.98,0.234,0.063
0.98,0.242,0.059
0.98,0.246,0.066
0.984,0.246,0.066
0.984,0.242,0.063
0.988,0.238,0.063
0.988,0.246,0.066
0.992,0.242,0.063
0.992,0.242,0.063
0.992,0.242,0.063
0.992,0.242,0.066
0.988,0.246,0.063
0.992,0.25,0.063
0.992,0.25,0.063
0.988,0.246,0.063
0.992,0.25,0.063
0.988,0.25,0.059
0.984,0.242,0.059
0.988,0.246,0.059
0.992,0.242,0.063
0.988,0.238,0.063
0.984,0.242,0.059
0.988,0.238,0.059
0.984,0.242,0.059
0.988,0.238,0.055
0.992,0.234,0.051
0.988,0.234,0.055
0.988,0.234,0.059
0.984,0.234,0.055
0.988,0.238,0.055
0.988,0.242,0.055
0.984,0.242,0.055
0.984,0.238,0.059
0.988,0.238,0.063
0.992,0.242,0.063
0.992,0.246,0.059
0.988,0.242,0.063
0.992,0.238,0.066
0.988,0.242,0.063
0.988,0.242,0.059
0.988,0.246,0.063
0.988,0.246,0.066
0.988,0.246,0.063
0.988,0.25,0.066
0.98,0.25,0.066
0.98,0.246,0.066
0.98,0.246,0.063
0.984,0.242,0.063
0.984,0.242,0.066
0.984,0.242,0.059
0.984,0.238,0.063
0.984,0.238,0.059
0.988,0.238,0.063
0.988,0.234,0.063
0.988,0.234,0.063
0.988,0.234,0.063
0.992,0.242,0.063
0.992,0.234,0.059
0.992,0.238,0.059
0.988,0.238,0.059
0.992,0.238,0.059
0.992,0.238,0.059
0.988,0.238,0.059
0.992,0.234,0.063
0.988,0.234,0.059
0.984,0.234,0.063
0.988,0.234,0.066
0.988,0.234,0.063
0.984,0.234,0.063
0.984,0.238,0.059
0.984,0.238,0.059
0.988,0.242,0.059
0.992,0.246,0.063
0.988,0.242,0.063
0.988,0.242,0.063
0.992,0.242,0.063
0.992,0.242,0.059
0.992,0.242,0.063
0.992,0.246,0.063
0.992,0.246,0.059
0.992,0.242,0.063
0.988,0.246,0.063
0.992,0.242,0.063
0.988,0.242,0.063
0.984,0.246,0.063
0.984,0.25,0.063
0.984,0.242,0.063
0.984,0.242,0.063
0.984,0.242,0.063
0.988,0.246,0.063
0.988,0.25,0.059
0.992,0.242,0.059
0.996,0.238,0.066
0.992,0.242,0.063
0.977,0.242,0.055
0.98,0.238,0.066
0.988,0.242,0.063
0.992,0.238,0.055
0.988,0.234,0.055
0.988,0.238,0.059
0.992,0.234,0.051
0.988,0.238,0.055
0.988,0.238,0.055
0.988,0.242,0.059
0.992,0.246,0.059
0.992,0.238,0.055
0.992,0.238,0.059
0.992,0.238,0.059
0.992,0.242,0.055
0.988,0.242,0.055
0.988,0.25,0.063
0.984,0.246,0.066
0.988,0.246,0.063
0.988,0.25,0.063
0.988,0.254,0.063
0.988,0.25,0.066
0.984,0.25,0.066
0.988,0.25,0.066
0.992,0.25,0.063
0.992,0.242,0.063
0.992,0.242,0.066
0.988,0.246,0.066
0.988,0.238,0.066
0.988,0.238,0.063
0.988,0.242,0.063
0.992,0.246,0.059
0.992,0.242,0.059
0.988,0.242,0.059
0.984,0.238,0.059
0.984,0.242,0.059
0.984,0.242,0.059
0.984,0.238,0.059
0.988,0.246,0.063
0.988,0.242,0.059
0.988,0.242,0.059
0.988,0.238,0.059
0.984,0.234,0.059
0.984,0.242,0.059
0.984,0.238,0.059
0.984,0.238,0.059
0.98,0.238,0.059
0.984,0.238,0.055
0.988,0.238,0.055
0.984,0.242,0.059
0.98,0.246,0.055
0.98,0.238,0.051
0.984,0.238,0.055
0.988,0.238,0.055
0.984,0.238,0.055
0.988,0.242,0.059
0.988,0.242,0.063
0.992,0.242,0.059
0.988,0.242,0.063
0.988,0.242,0.066
0.984,0.242,0.063
0.988,0.242,0.063
0.984,0.246,0.063
0.988,0.242,0.063
0.988,0.238,0.063
0.988,0.246,0.066
0.992,0.246,0.063
0.988,0.242,0.059
0.992,0.246,0.059
0.992,0.242,0.063
0.988,0.238,0.063
0.988,0.242,0.063
0.988,0.242,0.059
0.988,0.238,0.059
0.988,0.238,0.055
0.984,0.238,0.063
0.988,0.234,0.063
0.992,0.238,0.063
0.992,0.242,0.063
0.988,0.238,0.059
0.988,0.246,0.059
0.988,0.246,0.055
0.988,0.242,0.063
0.984,0.238,0.066
0.988,0.238,0.063
0.988,0.242,0.059
0.988,0.242,0.055
0.984,0.242,0.051
0.988,0.242,0.055
0.988,0.238,0.059
0.988,0.242,0.066
0.988,0.242,0.066
0.984,0.242,0.07
0.984,0.238,0.063
0.992,0.234,0.059
0.992,0.238,0.059
0.992,0.246,0.059
0.992,0.246,0.059
0.992,0.242,0.055
0.992,0.246,0.063
0.984,0.246,0.066
0.984,0.242,0.066
0.984,0.246,0.063
0.984,0.242,0.066
0.984,0.238,0.059
0.98,0.238,0.059
0.984,0.238,0.063
0.984,0.238,0.059
0.984,0.242,0.063
0.984,0.242,0.063
0.988,0.238,0.059
0.984,0.242,0.059
0.988,0.246,0.051
0.988,0.246,0.063
0.992,0.242,0.063
0.992,0.242,0.059
0.988,0.242,0.059
0.988,0.238,0.059
0.992,0.238,0.059
0.996,0.242,0.059
0.992,0.242,0.059
0.984,0.242,0.059
0.984,0.242,0.059
0.984,0.238,0.059
0.988,0.238,0.059
0.984,0.238,0.059
0.984,0.242,0.055
0.988,0.242,0.059
0.988,0.238,0.066
0.988,0.242,0.063
0.988,0.246,0.063
0.992,0.25,0.059
0.992,0.242,0.063
0.988,0.242,0.063
0.992,0.238,0.063
0.988,0.238,0.063
0.988,0.242,0.063
0.988,0.242,0.063
0.988,0.242,0.063
0.992,0.238,0.066
0.988,0.238,0.066
0.992,0.242,0.063
0.988,0.242,0.059
0.992,0.238,0.055
0.996,0.246,0.059
0.988,0.242,0.063
0.988,0.246,0.059
0.992,0.242,0.063
0.988,0.242,0.063
0.988,0.238,0.059
0.977,0.246,0.059
0.98,0.242,0.059
0.984,0.242,0.055
0.984,0.242,0.059
0.988,0.242,0.063
0.988,0.238,0.063
0.984,0.246,0.063
0.988,0.242,0.063
0.988,0.242,0.059
0.992,0.242,0.063
0.988,0.238,0.063
0.988,0.246,0.059
0.992,0.25,0.059
0.988,0.246,0.059
0.992,0.246,0.059
0.984,0.246,0.063
0.992,0.246,0.066
0.992,0.242,0.066
0.984,0.246,0.059
0.988,0.25,0.059
0.988,0.246,0.059
0.988,0.25,0.059
0.984,0.25,0.063
0.984,0.25,0.059
0.988,0.25,0.059
0.984,0.242,0.059
0.984,0.238,0.059
0.988,0.242,0.059
0.988,0.242,0.059
0.988,0.242,0.063
0.992,0.246,0.063
0.988,0.242,0.059
0.984,0.246,0.063
0.984,0.242,0.063
0.984,0.242,0.063
0.984,0.238,0.055
0.988,0.242,0.059
0.988,0.242,0.063
0.988,0.242,0.059
0.992,0.246,0.059
0.988,0.246,0.059
0.992,0.242,0.059
0.992,0.25,0.059
0.992,0.25,0.063
0.992,0.246,0.063
0.988,0.242,0.059
0.988,0.242,0.059
0.988,0.238,0.059
0.984,0.238,0.063
0.984,0.242,0.063
0.977,0.246,0.059
0.984,0.25,0.059
0.988,0.246,0.063
0.984,0.238,0.063
0.984,0.238,0.066
0.988,0.242,0.063
0.992,0.242,0.059
0.996,0.246,0.059
0.996,0.25,0.059
1,0.242,0.063
0.996,0.242,0.063
0.992,0.242,0.063
0.988,0.238,0.059
0.984,0.234,0.059
0.98,0.246,0.059
0.98,0.25,0.063
0.984,0.246,0.063
0.984,0.242,0.063
0.984,0.246,0.059
0.984,0.238,0.059
0.984,0.242,0.059
0.984,0.246,0.063
0.992,0.246,0.063
0.996,0.246,0.059
0.996,0.246,0.059
0.992,0.25,0.059
0.988,0.242,0.059
0.992,0.238,0.051
0.992,0.238,0.055
0.996,0.238,0.059
0.992,0.242,0.059
0.992,0.242,0.059
0.988,0.238,0.063
0.988,0.238,0.063
0.984,0.238,0.063
0.988,0.238,0.063
0.984,0.234,0.063
0.984,0.242,0.063
0.988,0.238,0.063
0.988,0.238,0.063
0.988,0.242,0.063
0.988,0.246,0.063
0.988,0.242,0.059
0.988,0.25,0.063
0.992,0.246,0.059
0.988,0.25,0.059
0.988,0.246,0.063
0.992,0.242,0.066
0.992,0.242,0.063
0.996,0.242,0.063
0.988,0.242,0.059
0.984,0.238,0.051
0.988,0.242,0.059
0.988,0.242,0.059
0.988,0.246,0.059
0.988,0.246,0.059
0.988,0.246,0.059
0.988,0.238,0.063
0.984,0.238,0.059
0.988,0.238,0.063
0.984,0.238,0.059
0.984,0.238,0.055
0.988,0.238,0.059
0.984,0.242,0.059
0.988,0.242,0.055
0.988,0.242,0.059
0.988,0.242,0.063
0.988,0.246,0.063
0.996,0.242,0.063
0.992,0.242,0.059
0.996,0.238,0.059
0.988,0.238,0.063
0.992,0.238,0.063
0.988,0.238,0.063
0.988,0.238,0.059
0.992,0.242,0.059
0.992,0.242,0.059
0.992,0.246,0.059
0.992,0.25,0.059
0.988,0.238,0.059
0.988,0.242,0.059
0.992,0.238,0.059
0.988,0.238,0.059
0.988,0.238,0.063
0.988,0.238,0.059
0.984,0.238,0.063
0.988,0.242,0.059
0.992,0.242,0.063
0.992,0.238,0.066
0.988,0.238,0.066
0.988,0.242,0.063
0.984,0.238,0.063
0.988,0.238,0.063
0.988,0.238,0.059
0.992,0.238,0.063
0.984,0.238,0.063
0.984,0.238,0.059
0.984,0.238,0.063
0.984,0.238,0.059
0.992,0.242,0.059
0.98,0.242,0.059
0.984,0.238,0.059
0.988,0.238,0.059
0.988,0.242,0.063
0.988,0.242,0.059
0.988,0.246,0.059
0.988,0.246,0.059
0.984,0.238,0.059
0.988,0.238,0.063
0.984,0.234,0.059
0.984,0.234,0.063
0.984,0.234,0.059
0.988,0.242,0.055
0.992,0.238,0.055
0.988,0.238,0.059
0.992,0.242,0.059
0.992,0.238,0.059
0.996,0.242,0.055
0.996,0.242,0.059
0.996,0.238,0.066
0.996,0.238,0.066
0.992,0.242,0.066
0.988,0.246,0.063
0.984,0.238,0.063
0.98,0.242,0.063
0.98,0.242,0.063
0.98,0.238,0.063
0.988,0.238,0.063
0.984,0.234,0.063
0.984,0.242,0.063
0.992,0.246,0.059
0.992,0.242,0.059
0.996,0.246,0.055
0.992,0.246,0.059
0.992,0.242,0.063
0.988,0.242,0.063
0.988,0.238,0.063
0.992,0.238,0.059
0.992,0.234,0.059
0.988,0.238,0.055
0.988,0.238,0.055
0.988,0.234,0.051
0.988,0.238,0.055
0.992,0.242,0.055
0.992,0.238,0.055
0.988,0.238,0.059
0.988,0.238,0.059
0.984,0.234,0.055
0.984,0.234,0.059
0.984,0.242,0.059
0.973,0.238,0.059
0.984,0.242,0.063
0.98,0.242,0.063
0.98,0.242,0.066
0.988,0.246,0.066
0.984,0.242,0.063
0.984,0.242,0.059
0.988,0.238,0.059
0.992,0.242,0.063
0.988,0.242,0.063
0.992,0.242,0.063
0.992,0.246,0.063
0.988,0.246,0.059
0.988,0.246,0.063
0.992,0.238,0.063
0.992,0.242,0.063
0.988,0.242,0.063
0.988,0.246,0.063
0.988,0.246,0.059
0.988,0.242,0.055
0.984,0.242,0.059
0.988,0.242,0.063
0.988,0.242,0.059
0.984,0.242,0.059
0.988,0.238,0.059
0.988,0.238,0.059
0.992,0.238,0.059
0.992,0.246,0.059
0.992,0.242,0.059
0.992,0.246,0.059
0.992,0.242,0.063
0.988,0.238,0.055
0.984,0.238,0.059
0.988,0.238,0.059
0.992,0.242,0.066
0.988,0.242,0.059
0.992,0.246,0.055
0.988,0.246,0.051
0.988,0.246,0.051
0.984,0.246,0.059
0.984,0.246,0.063
0.984,0.246,0.066
0.992,0.246,0.063
0.988,0.242,0.063
0.988,0.242,0.059
0.988,0.246,0.055
0.988,0.246,0.059
0.988,0.242,0.059
0.988,0.246,0.051
0.984,0.246,0.055
0.977,0.246,0.063
0.98,0.238,0.063
0.992,0.246,0.059
0.992,0.242,0.059
0.988,0.242,0.059
0.984,0.242,0.059
0.988,0.242,0.059
0.996,0.25,0.063
0.992,0.25,0.059
0.992,0.25,0.063
0.992,0.246,0.059
0.988,0.238,0.063
0.988,0.242,0.059
0.988,0.238,0.059
0.988,0.238,0.059
0.984,0.238,0.059
0.988,0.242,0.059
0.992,0.238,0.063
0.996,0.242,0.059
0.992,0.246,0.055
0.988,0.242,0.063
0.988,0.242,0.063
0.992,0.238,0.063
0.996,0.238,0.059
0.996,0.242,0.063
0.996,0.242,0.059
0.992,0.242,0.059
0.992,0.246,0.063
0.988,0.246,0.063
0.98,0.242,0.063
0.984,0.246,0.059
0.984,0.246,0.063
0.98,0.246,0.059
0.984,0.242,0.059
0.984,0.242,0.063
0.984,0.242,0.063
0.98,0.238,0.063
0.988,0.238,0.059
0.984,0.238,0.059
0.992,0.246,0.059
0.988,0.242,0.059
0.992,0.242,0.059
0.992,0.242,0.059
0.988,0.242,0.055
0.988,0.238,0.055
0.996,0.242,0.055
0.992,0.238,0.055
0.992,0.238,0.059
0.988,0.242,0.059
0.984,0.246,0.059
0.973,0.242,0.055
0.98,0.238,0.055
0.984,0.242,0.055
0.984,0.242,0.055
0.988,0.242,0.059
0.988,0.242,0.059
0.992,0.242,0.059
0.988,0.246,0.059
0.984,0.246,0.059
0.98,0.242,0.059
0.984,0.238,0.063
0.984,0.242,0.063
0.988,0.242,0.059
0.988,0.246,0.059
0.992,0.25,0.063
0.992,0.246,0.063
0.988,0.246,0.059
0.984,0.242,0.059
0.988,0.246,0.059
0.992,0.246,0.055
0.988,0.246,0.059
0.988,0.242,0.059
0.992,0.242,0.059
0.992,0.242,0.066
0.992,0.238,0.063
0.988,0.238,0.059
0.984,0.234,0.059
0.988,0.238,0.059
0.988,0.238,0.051
0.984,0.238,0.055
0.988,0.242,0.063
0.988,0.238,0.059
0.984,0.238,0.063
0.984,0.242,0.063
0.988,0.242,0.059
0.984,0.238,0.055
0.988,0.238,0.055
0.984,0.242,0.059
0.984,0.242,0.059
0.984,0.246,0.066
0.988,0.242,0.066
0.992,0.238,0.066
0.988,0.238,0.063
0.992,0.246,0.059
0.988,0.246,0.059
0.988,0.246,0.063
0.992,0.246,0.063
0.992,0.242,0.059
0.992,0.242,0.059
0.992,0.246,0.063
0.98,0.246,0.063
0.984,0.242,0.063
0.984,0.242,0.059
0.988,0.242,0.063
0.988,0.238,0.063
0.988,0.238,0.055
0.988,0.246,0.055
0.992,0.246,0.063
0.988,0.242,0.059
0.992,0.238,0.063
0.992,0.238,0.059
0.996,0.242,0.059
0.992,0.246,0.059
0.988,0.242,0.059
0.988,0.242,0.051
0.988,0.242,0.055
0.988,0.242,0.055
0.984,0.238,0.059
0.988,0.238,0.059
0.984,0.242,0.063
0.988,0.242,0.063
0.988,0.246,0.063
0.992,0.238,0.063
0.988,0.238,0.059
0.988,0.242,0.059
0.992,0.238,0.059
0.984,0.238,0.055
0.984,0.242,0.055
0.984,0.246,0.059
0.988,0.246,0.063
0.984,0.242,0.063
0.988,0.238,0.063
0.996,0.238,0.059
1,0.242,0.055
1.004,0.242,0.059
0.996,0.242,0.055
0.996,0.242,0.055
0.992,0.242,0.059
0.988,0.242,0.059
0.984,0.238,0.059
0.988,0.242,0.059
0.984,0.246,0.059
0.98,0.242,0.059
0.984,0.242,0.059
0.984,0.238,0.063
0.984,0.242,0.066
0.984,0.242,0.059
0.984,0.238,0.063
0.984,0.246,0.059
0.988,0.254,0.059
0.984,0.254,0.059
0.984,0.25,0.055
0.992,0.246,0.059
0.988,0.242,0.063
0.988,0.238,0.059
0.992,0.234,0.059
1,0.234,0.063
0.996,0.238,0.066
0.992,0.242,0.063
0.984,0.242,0.063
0.988,0.238,0.063
0.992,0.242,0.055
0.988,0.242,0.055
0.984,0.242,0.055
0.984,0.238,0.059
0.984,0.242,0.059
0.984,0.242,0.063
0.988,0.242,0.063
0.984,0.246,0.059
0.988,0.242,0.059
0.992,0.242,0.063
0.984,0.242,0.059
0.984,0.238,0.059
0.98,0.238,0.063
0.988,0.238,0.059
0.988,0.238,0.055
0.992,0.242,0.059
0.992,0.246,0.063
0.996,0.246,0.059
0.992,0.246,0.063
0.992,0.246,0.059
0.988,0.246,0.055
0.988,0.246,0.055
0.992,0.246,0.063
0.988,0.242,0.063
0.988,0.242,0.059
0.988,0.242,0.059
0.988,0.246,0.051
0.988,0.246,0.055
0.988,0.246,0.059
0.984,0.242,0.059
0.984,0.238,0.059
0.984,0.234,0.059
0.988,0.238,0.059
0.992,0.242,0.059
0.988,0.238,0.059
0.984,0.242,0.059
0.984,0.238,0.059
0.984,0.238,0.059
0.984,0.242,0.063
0.973,0.242,0.055
0.98,0.246,0.066
0.988,0.25,0.066
0.984,0.242,0.066
0.988,0.238,0.066
0.988,0.246,0.063
0.984,0.242,0.063
0.992,0.242,0.059
0.992,0.246,0.063
0.988,0.246,0.066
0.992,0.246,0.066
0.992,0.242,0.063
0.988,0.246,0.063
0.988,0.246,0.063
0.992,0.242,0.066
0.988,0.246,0.063
0.996,0.246,0.063
0.988,0.246,0.059
0.988,0.246,0.059
0.988,0.238,0.059
0.988,0.242,0.063
0.988,0.246,0.059
0.988,0.242,0.059
0.988,0.238,0.059
0.992,0.242,0.063
0.992,0.242,0.059
0.992,0.242,0.063
0.992,0.242,0.063
0.988,0.238,0.063
